task,seed,expert_canonical_task_score,create_final_canonical_task_score,expert_minus_create
door_push,0,1.0,1.0,0.0
door_push,1,1.0,1.0,0.0
door_push,2,1.0,1.0,0.0
door_push,3,1.0,1.0,0.0
door_push,4,1.0,1.0,0.0
door_push,5,1.0,1.0,0.0
door_push,6,1.0,1.0,0.0
door_push,7,1.0,1.0,0.0
door_push,8,1.0,1.0,0.0
door_push,9,1.0,1.0,0.0
push_to_goal,0,0.7611961659756186,0.8473556252581275,-0.0861594592825089
push_to_goal,1,0.8145307654820234,0.9609649297291728,-0.1464341642471494
push_to_goal,2,0.9158714552008417,0.8948629632226344,0.02100849197820731
push_to_goal,3,0.9029674667299816,0.9376416269841523,-0.034674160254170694
push_to_goal,4,0.804393926950691,0.724192219744957,0.08020170720573405
push_to_goal,5,0.7898032552778816,0.8325763665238931,-0.042773111246011464
push_to_goal,6,0.7212944548326646,0.9533568890298033,-0.23206243419713868
push_to_goal,7,0.794261071324998,0.9199636231705816,-0.12570255184558354
push_to_goal,8,0.8263939436799808,0.5675813049803585,0.25881263869962223
push_to_goal,9,0.869872545081548,0.8080191146719131,0.06185343040963487
peg_insert,0,0.8740370378433249,0.8762159867638397,-0.002178948920514845
peg_insert,1,0.8363395861180575,0.9992086268382261,-0.1628690407201686
peg_insert,2,0.8484260536187519,0.8515238757062057,-0.0030978220874537943
peg_insert,3,0.8479534278724934,0.8589794702723811,-0.011026042399887692
peg_insert,4,0.8948079167421435,0.9158272487759177,-0.021019332033774152
peg_insert,5,0.8892804146538582,0.933769056782802,-0.04448864212894377
peg_insert,6,0.868920763928898,0.9482284665032007,-0.07930770257430264
peg_insert,7,0.8460471484556741,0.8463830443622867,-0.0003358959066126488
peg_insert,8,0.8376340243158541,0.8559524506280876,-0.01831842631223346
peg_insert,9,0.8496941767990247,0.8591765614248734,-0.009482384625848717
peg_channel,0,0.7633010210992864,0.8535770811744526,-0.0902760600751662
peg_channel,1,0.5251363810738109,0.46258648291513316,0.06254989815867773
peg_channel,2,0.23092658843095068,0.29339178088422113,-0.06246519245327045
peg_channel,3,0.2693427166403573,0.13209926418419402,0.1372434524561633
peg_channel,4,0.5200369413024298,0.5869638656526494,-0.06692692435021952
peg_channel,5,0.8176635690043191,0.441009528898155,0.37665404010616416
peg_channel,6,0.7930267054431827,0.7956594488051633,-0.002632743361980605
peg_channel,7,0.48758773680877926,0.6998415022758889,-0.21225376546710967
peg_channel,8,0.1542544034754459,0.9695091329286928,-0.8152547294532468
peg_channel,9,0.0,0.34792497362594693,-0.34792497362594693
obstacle_reach,0,0.8784456309796699,0.9676516635401456,-0.08920603256047577
obstacle_reach,1,0.8784031812712443,0.9712362277083835,-0.09283304643713919
obstacle_reach,2,0.8784759264414977,0.9616245207368476,-0.08314859429534982
obstacle_reach,3,0.878536808877584,0.9410144867113205,-0.06247767783373648
obstacle_reach,4,0.878567468415079,0.9638249913355974,-0.08525752292051836
obstacle_reach,5,0.8784025428762111,0.9682162000801572,-0.08981365720394607
obstacle_reach,6,0.8782737284487033,0.935288548560874,-0.05701482011217063
obstacle_reach,7,0.8783502791087487,0.9811942348133216,-0.10284395570457283
obstacle_reach,8,0.8600371909665535,0.9663719349749522,-0.10633474400839871
obstacle_reach,9,0.8601119952206732,0.9126917779390782,-0.05257978271840502
grasp_place,0,1.0,0.5730354951176446,0.4269645048823554
grasp_place,1,0.9069212810954653,0.31612525464975566,0.5907960264457097
grasp_place,2,0.9069212810954653,1.0,-0.09307871890453467
grasp_place,3,0.9069212810954653,0.46289820397669446,0.44402307711877087
grasp_place,4,0.952268954041406,0.3441094763647053,0.6081594776767008
grasp_place,5,0.952268954041406,0.5149094317577623,0.4373595222836437
grasp_place,6,0.952268954041406,0.3521494258994611,0.6001195281419449
grasp_place,7,0.9213256018076111,0.27185300032091053,0.6494726014867006
grasp_place,8,0.9213256018076111,0.26402128914978706,0.6573043126578241
grasp_place,9,0.9213256018076111,0.28371400171406963,0.6376116000935415
