role,arm,task,expert_mean,same_run_initial_mean,final_mean,initial_expert_gap,refinement_gain,gap_recovery,gap_recovery_tolerance
primary,create-language-fixed,door_push,1.0,1.0,1.0,0.0,0.0,NA,1e-12
primary,create-language-fixed,push_to_goal,0.820058505053623,0.7583353524012431,0.8446514663315595,0.06172315265237993,0.08631611393031646,1.3984398110129308,1e-12
primary,create-language-fixed,peg_insert,0.859314055034808,0.8703775795174741,0.894526478805782,-0.01106352448266612,0.02414889928830788,NA,1e-12
primary,create-language-fixed,peg_channel,0.45612760632785615,0.1780031256681737,0.5582563061344497,0.2781244806596824,0.380253180466276,1.3672049995899493,1e-12
primary,create-language-fixed,obstacle_reach,0.8747604752605964,0.8747538078931143,0.9569114586400677,6.667367482116049e-06,0.08215765074695336,12322.352257817753,1e-12
primary,create-language-fixed,grasp_place,0.9341547510833447,0.2861333343417707,0.43828155789507905,0.648021416741574,0.15214822355330837,0.2347888813896778,1e-12
primary,create-language-fixed,macro,0.8240692321267048,0.661267199970296,0.7821045446344896,0.16280203215640876,0.1208373446641936,0.7422348668725558,1e-12
secondary_descriptive,random-language-fixed,door_push,1.0,0.35770451171940276,0.9979657245835316,0.6422954882805972,0.6402612128641288,0.9968328044434593,1e-12
secondary_descriptive,random-language-fixed,push_to_goal,0.820058505053623,0.27139513366597573,0.8877887333975751,0.5486633713876472,0.6163935997315995,1.123445872052025,1e-12
secondary_descriptive,random-language-fixed,peg_insert,0.859314055034808,0.6085867295757454,0.9283721720741516,0.2507273254590625,0.3197854424984061,1.275431155790074,1e-12
secondary_descriptive,random-language-fixed,peg_channel,0.45612760632785615,0.21950073530986236,0.5038994140560745,0.2366268710179938,0.28439867874621216,1.2018866560788257,1e-12
secondary_descriptive,random-language-fixed,obstacle_reach,0.8747604752605964,1.2644639184679059e-18,0.9181163210477372,0.8747604752605964,0.9181163210477372,1.0495631055738142,1e-12
secondary_descriptive,random-language-fixed,grasp_place,0.9341547510833447,0.18057106757546765,0.7510958876263159,0.7535836835078771,0.5705248200508481,0.7570822359039101,1e-12
secondary_descriptive,random-language-fixed,macro,0.8240692321267048,0.2729596963077423,0.8312063754642309,0.5511095358189625,0.5582466791564886,1.0129504987187714,1e-12
