cell_id,source_container_path,source_container_original_sha256,entry_index,entry_iteration,embedded_field,superseded_top_level_sha256,selected_embedded_sha256,public_path,public_sha256,derivation
p-create-bandit-fixed-grasp_place-seed-08,data/logs/run/p-create-bandit-fixed-grasp_place-seed-08.json,4ac62a61fbac660212e873a7167e492e9cb7d2604c11b4f26a91f3c98f3e9165,11,11,skill_yaml,21dfcb78458ee37d96243a63a7644b8b2055d292d458d2f9003059de65e9b13c,4771fe1f5703e3f5caacd206840c3904479d06d3625d30394d6d89554957c504,data/skills/best/p-create-bandit-fixed-grasp_place-seed-08.yaml,4771fe1f5703e3f5caacd206840c3904479d06d3625d30394d6d89554957c504,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-grasp_place-seed-09,data/logs/run/p-create-bandit-fixed-grasp_place-seed-09.json,5f0c4c4824aa728c6eb2e771edc089b18c47dcf6ee4d3a0647799621c8809a75,3,3,skill_yaml,852f98021498d42b8074cab903abd04b52c5684a756f558ad5eb1041144a210e,6a67ba2f3a7fd31634147e90a14906ab78f3dd053b7b7853d6226d7678b4a534,data/skills/best/p-create-bandit-fixed-grasp_place-seed-09.yaml,6a67ba2f3a7fd31634147e90a14906ab78f3dd053b7b7853d6226d7678b4a534,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-00,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-00.json,47a242ee73ef1f2cc184dda58fbd9d7a1cb7cb180a3075851566e5ee26d5d22f,12,12,skill_yaml,eab4bcca15fb6a5f60c692aa948bdab89615ba9df396cd628bb3d22834ffc71a,1054ece6256cdd15446fdf2d3042bb809b82418707a55c7e2e9303dfd33a0143,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-00.yaml,1054ece6256cdd15446fdf2d3042bb809b82418707a55c7e2e9303dfd33a0143,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-02,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-02.json,4e78f6ffea2bbb4f91c7a49d9d3235f21f90562a480554141dab6ba2bf8b8e48,9,9,skill_yaml,44e1fabf5ad59f82f5c65206398a48b816b3d81eda835b2edc645753e8df0e96,de1e22e41c7a4682aab48f025d056423cb0394399f13571416cd4aa075b09961,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-02.yaml,de1e22e41c7a4682aab48f025d056423cb0394399f13571416cd4aa075b09961,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-04,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-04.json,418716b51a0ae634acf147e51d1a092b57e6c83753a17763a22163cd6af09d88,7,7,skill_yaml,c5e08a3c4e0ce12ae41bf80141092a5fe37c1e3f2f3c4592eddfc76ff648aa1c,130890bf8b8b9ef36ddeb55c92a41d4f67917bda47fe547357bd79569131d2b9,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-04.yaml,130890bf8b8b9ef36ddeb55c92a41d4f67917bda47fe547357bd79569131d2b9,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-05,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-05.json,42135587b2e5cda0bc8be14eb6a285dfff0cf501a4c11e01eae4ad3b7735e335,1,1,skill_yaml,36ecc58538e85d56bd424e59daec842ccc656bdb254169120622b08872eacdf8,401d2b94f2d5cb3081e4f48a4f8a623a0613d8ef98be222aca2d04b08396caea,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-05.yaml,401d2b94f2d5cb3081e4f48a4f8a623a0613d8ef98be222aca2d04b08396caea,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-06,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-06.json,ea1dcd39d09d25c9afd96e7883afb1dd37695aada64ffe59d5544aade7c09589,7,7,skill_yaml,71a9b995b4e7de61f88fb8038d43455dba5cc8b485a650359ff7cf842a3fc0c7,7a03d488795a3777e25f1c22ad95a9599c12f170e22915f3bc6963e51632b0f8,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-06.yaml,7a03d488795a3777e25f1c22ad95a9599c12f170e22915f3bc6963e51632b0f8,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-08,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-08.json,880ebdcc2b472f3042045ad926013d903341cdee018173baa7da27be16b56306,12,12,skill_yaml,02d418bcd52222f2c3912365181f5ddcc8afecd72e0d8b3d595b6e8e21bcab51,846b4584fa822effa5a38d13caf9f883020382637c72684b0986f16fddf5acb6,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-08.yaml,846b4584fa822effa5a38d13caf9f883020382637c72684b0986f16fddf5acb6,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-obstacle_reach-seed-09,data/logs/run/p-create-bandit-fixed-obstacle_reach-seed-09.json,df60cc4039df22c0308f2d48ad616ca69f467f35f3a09b3ca9a3b479074efc32,1,1,skill_yaml,46330b6fe91846a5a47d157f4abb750a9ddf4630403a977a979b49ef172e1ba9,ed363c1bb60a597ebbdff392d2e7636de870f5e8a5d42b306effa30fe02c2615,data/skills/best/p-create-bandit-fixed-obstacle_reach-seed-09.yaml,ed363c1bb60a597ebbdff392d2e7636de870f5e8a5d42b306effa30fe02c2615,"declared winner: maximum canonical task score, then composite score, then earliest entry"
p-create-bandit-fixed-peg_channel-seed-00,data/logs/run/p-create-bandit-fixed-peg_channel-seed-00.json,eb4d1c27c9774f683ce199893d16852167afdb0b66d0a3bf2c18a707e1e9b575,6,6,skill_yaml,f41e3ddc8bb450c3e4bb2237822a64d2a0c97cd218f372924f500a65edecd68d,b46bc97d873dcef5eceadf5080dadec11a849230fcaa60d2a65b0764dbdf71c1,data/skills/best/p-create-bandit-fixed-peg_channel-seed-00.yaml,b46bc97d873dcef5eceadf5080dadec11a849230fcaa60d2a65b0764dbdf71c1,"declared winner: maximum canonical task score, then composite score, then earliest entry"
