cell_id,public_path,role,attempt,original_sha256,public_sha256,normalization
e-expert-reference-door_push-seed-07,data/scenes/e-expert-reference-door_push-seed-07.json,scene_bank,,99f10f3388ae1ecdd2ae3494fd1bd3e8f42420c416b3c3e75f2738699c60d9f4,001ac38faa6972ef76fa6cc7d161d6a8773a6365d2c31740bd5ac5b66e53c9c6,privacy_release_labels
e-expert-reference-door_push-seed-07,data/skills/best/e-expert-reference-door_push-seed-07.yaml,selected_skill,,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,privacy_release_labels
e-expert-reference-door_push-seed-08,data/logs/run/e-expert-reference-door_push-seed-08.json,run_log,,2977be3d199552d3067ee7f8e136a819ede25191cb46bea640a3d45e51cbe8a1,fabf4012f818ef23155566f9797aa279de53b3c97e6282c9cb6caa1ddad2c658,privacy_release_labels
e-expert-reference-door_push-seed-08,data/scenes/e-expert-reference-door_push-seed-08.json,scene_bank,,3763e501701ebe8b415613d2da6a15582c58b5305fc3de17df76e4507f1e6f63,7afb9135de0adaf8a3c0f65adf3513c249dd4be8a5013be0af43ebbd6eccef61,privacy_release_labels
e-expert-reference-door_push-seed-08,data/skills/best/e-expert-reference-door_push-seed-08.yaml,selected_skill,,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,privacy_release_labels
e-expert-reference-door_push-seed-09,data/logs/run/e-expert-reference-door_push-seed-09.json,run_log,,82a93d9e256eca028fefbf364434134f73645926aa9c1aecac445bc289f03391,f3a9c2ecca0a6ccd89cd44555cf9a70af25464f18f4f6199bd3c8333bd6a97a9,privacy_release_labels
e-expert-reference-door_push-seed-09,data/scenes/e-expert-reference-door_push-seed-09.json,scene_bank,,23f6636efdab226b7719419a5f3ad6cbb3c48eb2cfaa64e46fc2ea1357976b28,6eb218ecfb70a63d32a73ced6ba94dd050c759f31181ee2bfcfd626d08aaf49d,privacy_release_labels
e-expert-reference-door_push-seed-09,data/skills/best/e-expert-reference-door_push-seed-09.yaml,selected_skill,,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,38f2a79fae78fb44ffb3fa10c889533db9265befae31bebdbea105b8eab7900b,privacy_release_labels
e-expert-reference-grasp_place-seed-00,data/logs/run/e-expert-reference-grasp_place-seed-00.json,run_log,,2c153c6b6be74f500dadc5396f434c3509734cb643dc51c454e8deabd0b150dd,4807739d542bf33867b4bf693e873f9c87c89a3ab66d2c95338cf7872b738126,privacy_release_labels
e-expert-reference-grasp_place-seed-00,data/scenes/e-expert-reference-grasp_place-seed-00.json,scene_bank,,110bffb852e6856304d07b49017e71b25642e32988934e823f851a560bdeee06,aa892e1579792ba635c792c78bbf9c1f5d8c6af40588896c3ec2a754fcf0f10c,privacy_release_labels
