method,subtask_mode,aggregation,n_initializations,n_tasks_per_initialization,n_cells,first_best_attempt_equal_init_equal_task_mean,first_best_attempt_initialization_task_mean_sample_sd,first_best_attempt_create_equal_task_mean,first_best_attempt_scaffold_equal_task_mean,first_best_attempt_random_equal_task_mean,selected_best_canonical_score_equal_init_equal_task_mean,selected_best_canonical_score_initialization_task_mean_sample_sd,selected_best_canonical_score_create_equal_task_mean,selected_best_canonical_score_scaffold_equal_task_mean,selected_best_canonical_score_random_equal_task_mean,terminal_candidate_score_equal_init_equal_task_mean,terminal_candidate_score_initialization_task_mean_sample_sd,terminal_candidate_score_create_equal_task_mean,terminal_candidate_score_scaffold_equal_task_mean,terminal_candidate_score_random_equal_task_mean,best_minus_terminal_absolute_drop_equal_init_equal_task_mean,best_minus_terminal_absolute_drop_initialization_task_mean_sample_sd,best_minus_terminal_absolute_drop_create_equal_task_mean,best_minus_terminal_absolute_drop_scaffold_equal_task_mean,best_minus_terminal_absolute_drop_random_equal_task_mean,retained_best_indicator_equal_init_equal_task_mean,retained_best_indicator_initialization_task_mean_sample_sd,retained_best_indicator_create_equal_task_mean,retained_best_indicator_scaffold_equal_task_mean,retained_best_indicator_random_equal_task_mean,number_of_budgeted_records_equal_init_equal_task_mean,number_of_budgeted_records_initialization_task_mean_sample_sd,number_of_budgeted_records_create_equal_task_mean,number_of_budgeted_records_scaffold_equal_task_mean,number_of_budgeted_records_random_equal_task_mean
BanditRefine,FixedST,equal_initialization_equal_task_mean_of_18_initialization_task_means,3,6,180,7.205555555555556,2.2607838885770732,5.6,8.483333333333333,7.533333333333333,0.6174461769868889,0.30804359957843713,0.7329732707261288,0.6180801796917708,0.5012850805427669,0.5005463436765907,0.29987576872746163,0.6066099654437347,0.4769120215238952,0.41811704406214195,0.11689983331029821,0.0794856198997627,0.12636330528239414,0.14116815816787553,0.08316803648062497,0.13333333333333333,0.13719886811400708,0.11666666666666667,0.1,0.18333333333333335,15.0,0.0,15.0,15.0,15.0
LLMRefine,FixedST,equal_initialization_equal_task_mean_of_18_initialization_task_means,3,6,180,8.5,3.0201285519971224,8.583333333333334,7.8,9.116666666666667,0.811334956837105,0.17639501334379437,0.7821045446344896,0.8206939504125944,0.831206375464231,0.637050775838382,0.2585149442084035,0.6294193747723656,0.6308254646633942,0.6509074880793859,0.1742841809987231,0.12607800030124044,0.15268516986212402,0.18986848574920012,0.1802988873848451,0.3055555555555556,0.21549456720931975,0.2833333333333333,0.2833333333333333,0.35,14.661111111111111,0.1753614381411377,14.733333333333333,14.6,14.65
LLMRefine,FreeST,equal_initialization_equal_task_mean_of_18_initialization_task_means,3,6,180,8.366666666666667,2.6672303325845004,9.3,7.55,8.25,0.7992893142285589,0.16952204948422028,0.8102602272098898,0.8276794339819226,0.7599282814938642,0.6343353618352219,0.2826379391856453,0.6779458708128636,0.6261633762033887,0.5988968384894134,0.16495395239333693,0.13918627406957246,0.13231435639702618,0.20151605777853387,0.16103144300445071,0.2888888888888889,0.2609685328988893,0.26666666666666666,0.31666666666666665,0.2833333333333333,14.616666666666667,0.20364328674251475,14.633333333333333,14.516666666666667,14.7
MAP-QD,FixedST,equal_initialization_equal_task_mean_of_18_initialization_task_means,3,6,180,6.983333333333333,2.281704729054186,5.45,7.8,7.7,0.6230487572618186,0.2999825668377619,0.7405119754440154,0.6257760174713882,0.5028582788700522,0.40300206441660164,0.28199974574346165,0.4415842276699479,0.40306710372824234,0.36435486185161464,0.22004669284521697,0.18220735798473478,0.29892774777406744,0.22270891374314591,0.13850341701843752,0.15,0.16179144164088313,0.15,0.08333333333333334,0.21666666666666667,15.0,0.0,15.0,15.0,15.0
